Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19181.890000000003,230182.68,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Route 53,Amazon Route 53,0,183,2196.00,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),load balancer,Application Load Balancer,0,2369.3199999999997,28431.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),VPC connection,VPN Connection,0,182.5,2190.00,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (5)"
My Estimate,US East (N. Virginia),EC2 connections,Amazon EC2 ,0,7653.6,91843.20,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 15), Enable disabled, Advance EC2 instance (m5a.4xlarge), Pricing strategy (), Storage amount (100 GB), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),s3 standard,S3 Standard,0,23.55,282.60,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),s3 standard,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),Amazon elastic IP,Amazon Elastic IP,0,0.07,0.84,USD,"Number of EC2 instances (5), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),Amazon cloudwatch,Amazon CloudWatch,0,3000,36000.00,USD,Number of Metrics (includes detailed and custom metrics) (10000)
My Estimate,US East (N. Virginia),Aurora for master database,Amazon Aurora MySQL-Compatible,0,4806.43,57677.16,USD,"Change records per statement (0.38), Instance Type (db.r3.2xlarge), Nodes (5), Utilization (100 %Utilized/Month), Instance Family (Memory optimized), Pricing Model (OnDemand), Storage amount (1 TB), Additional backup storage (1 TB), Total Size of Backup Processed for Export (GB) (1000 per month)"
My Estimate,US East (N. Virginia),Cloudfront to serve s3 data,Amazon CloudFront,0,963.42,11561.04,USD,"Data transfer out to internet (1 TB per month), Data transfer out to origin (100 GB per month), Number of requests (HTTPS) (1000000 per month), Data transfer out to internet (10 TB per month), Data transfer out to origin (99 GB per month), Number of requests (HTTPS) (1000000 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

Rationale
Added additional services, Cloudwatch for logs, increased the number of AWS EC2 instances, using amazon aurora with mysql
